soilBearingCapacity,loadsActing,ironQuality,sandType,noOfRows,noOfCols,noOfStairs,earthquakeLoad,windLoad,concreteMix,years,price
deep,dead,High,concrete,6,4,18,notProne,500,3,55,117000000
deep,dead,High,pit,6,4,18,notProne,500,4,60,117000000
deep,dead,High,utility,6,4,18,notProne,500,5,57,117000000
deep,dead,High,fill,6,4,18,notProne,500,6,54,117000000
deep,dead,Medium,concrete,3,2,2,prone,100,1,20,2600000
deep,dead,Medium,pit,3,2,2,prone,100,2,25,2600000
deep,dead,Medium,utility,3,2,2,prone,100,3,28,2600000
deep,dead,Medium,fill,3,2,2,prone,100,4,30,2600000
deep,dead,Medium,concrete,3,2,2,prone,100,5,19,2600000
deep,dead,Medium,pit,3,2,2,prone,100,6,15,2600000
deep,dead,Medium,utility,3,2,2,prone,200,1,11,5200000
deep,dead,Medium,fill,3,2,2,prone,200,2,13,5200000
deep,dead,Medium,concrete,3,2,2,prone,200,3,14,5200000
deep,dead,Medium,pit,3,2,2,prone,200,4,20,5200000
deep,dead,Medium,utility,3,2,2,prone,200,5,12,5200000
deep,dead,Medium,fill,3,2,2,prone,200,6,10,5200000
deep,dead,Medium,concrete,3,2,2,prone,300,1,15,7800000
deep,dead,Medium,pit,3,2,2,prone,300,2,20,7800000
deep,dead,Medium,utility,3,2,2,prone,300,3,22,7800000
deep,dead,Medium,fill,3,2,2,prone,300,4,16,7800000
deep,dead,Medium,concrete,3,2,2,prone,300,5,23,7800000
deep,dead,Medium,pit,3,2,2,prone,300,6,21,7800000
deep,dead,Medium,utility,3,2,2,prone,500,1,12,13000000
deep,dead,Medium,fill,3,2,2,prone,500,2,14,13000000
deep,dead,Medium,concrete,3,2,2,prone,500,3,16,13000000
deep,dead,Medium,pit,3,2,2,prone,500,4,21,13000000
deep,dead,Medium,utility,3,2,2,prone,500,5,14,13000000
deep,dead,Medium,fill,3,2,2,prone,500,6,11,13000000
deep,dead,Medium,concrete,3,2,2,notProne,100,1,85,2600000
deep,dead,Medium,pit,3,2,2,notProne,100,2,82,2600000
deep,dead,Medium,utility,3,2,2,notProne,100,3,78,2600000
deep,dead,Medium,fill,3,2,2,notProne,100,4,80,2600000
deep,dead,Medium,concrete,3,2,2,notProne,100,5,72,2600000
deep,dead,Medium,pit,3,2,2,notProne,100,6,70,2600000
deep,dead,Medium,utility,3,2,2,notProne,200,1,73,5200000
deep,dead,Medium,fill,3,2,2,notProne,200,2,74,5200000
deep,dead,Medium,concrete,3,2,2,notProne,200,3,70,5200000
deep,dead,Medium,pit,3,2,2,notProne,200,4,75,5200000
deep,dead,Medium,utility,3,2,2,notProne,200,5,72,5200000
deep,dead,Medium,fill,3,2,2,notProne,200,6,68,5200000
deep,dead,Medium,concrete,3,2,2,notProne,300,1,80,7800000
deep,dead,Medium,pit,3,2,2,notProne,300,2,77,7800000
deep,dead,Medium,utility,3,2,2,notProne,300,3,73,7800000
deep,dead,Medium,fill,3,2,2,notProne,300,4,75,7800000
deep,dead,Medium,concrete,3,2,2,notProne,300,5,67,7800000
deep,dead,Medium,pit,3,2,2,notProne,300,6,65,7800000
deep,dead,Medium,utility,3,2,2,notProne,500,1,68,13000000
deep,dead,Medium,fill,3,2,2,notProne,500,2,69,13000000
deep,dead,Medium,concrete,3,2,2,notProne,500,3,65,13000000
deep,dead,Medium,pit,3,2,2,notProne,500,4,70,13000000
deep,dead,Medium,utility,3,2,2,notProne,500,5,67,13000000
deep,dead,Medium,fill,3,2,2,notProne,500,6,63,13000000
deep,dead,Medium,concrete,3,2,6,prone,200,1,24,15600000
deep,dead,Medium,pit,3,2,6,prone,200,2,29,15600000
deep,dead,Medium,utility,3,2,6,prone,200,3,32,15600000
deep,dead,Medium,fill,3,2,6,prone,200,4,34,15600000
deep,dead,Medium,concrete,3,2,6,prone,200,5,23,15600000
deep,dead,Medium,pit,3,2,6,prone,200,6,19,15600000
deep,dead,Medium,utility,3,2,6,prone,300,1,15,23400000
deep,dead,Medium,fill,3,2,6,prone,300,2,17,24400000
deep,dead,Medium,concrete,3,2,6,prone,300,3,18,23400000
deep,dead,Medium,pit,3,2,6,prone,300,4,24,24400000
deep,dead,Medium,utility,3,2,6,prone,300,5,16,23400000
deep,dead,Medium,fill,3,2,6,prone,300,6,14,24400000
deep,dead,Medium,concrete,3,2,6,prone,500,1,19,39000000
deep,dead,Medium,pit,3,2,6,prone,500,2,24,39000000
deep,dead,Medium,utility,3,2,6,prone,500,3,36,39000000
deep,dead,Medium,fill,3,2,6,prone,500,4,20,39000000
deep,dead,Medium,concrete,3,2,6,prone,500,5,27,39000000
deep,dead,Medium,pit,3,2,6,prone,500,6,25,39000000
deep,dead,Medium,utility,3,2,6,notProne,100,1,75,7800000
deep,dead,Medium,fill,3,2,6,notProne,100,2,72,7800000
deep,dead,Medium,concrete,3,2,6,notProne,100,3,68,7800000
deep,dead,Medium,pit,3,2,6,notProne,100,4,70,7800000
deep,dead,Medium,utility,3,2,6,notProne,100,5,62,7800000
deep,dead,Medium,fill,3,2,6,notProne,100,6,60,7800000
deep,dead,Medium,concrete,3,2,6,notProne,200,1,63,15600000
deep,dead,Medium,pit,3,2,6,notProne,200,2,64,15600000
deep,dead,Medium,utility,3,2,6,notProne,200,3,60,15600000
deep,dead,Medium,fill,3,2,6,notProne,200,4,65,15600000
deep,dead,Medium,concrete,3,2,6,notProne,200,5,62,15600000
deep,dead,Medium,pit,3,2,6,notProne,200,6,58,15600000
deep,dead,Medium,utility,3,2,6,notProne,300,1,70,23400000
deep,dead,Medium,fill,3,2,6,notProne,300,2,67,24400000
deep,dead,Medium,concrete,3,2,6,notProne,300,3,63,23400000
deep,dead,Medium,pit,3,2,6,notProne,300,4,65,24400000
deep,dead,Medium,utility,3,2,6,notProne,300,5,57,23400000
deep,dead,Medium,fill,3,2,6,notProne,300,6,55,24400000
deep,dead,Medium,concrete,3,2,6,notProne,500,1,58,39000000
deep,dead,Medium,pit,3,2,6,notProne,500,2,59,39000000
deep,dead,Medium,utility,3,2,6,notProne,500,3,55,39000000
deep,dead,Medium,fill,3,2,6,notProne,500,4,60,39000000
deep,dead,Medium,concrete,3,2,6,notProne,500,5,57,39000000
deep,dead,Medium,pit,3,2,6,notProne,500,6,53,39000000
deep,dead,Medium,utility,3,2,10,prone,100,1,21,13000000
deep,dead,Medium,fill,3,2,10,prone,100,2,24,13000000
deep,dead,Medium,concrete,3,2,10,prone,100,3,28,13000000
deep,dead,Medium,pit,3,2,10,prone,100,4,29,13000000
deep,dead,Medium,utility,3,2,10,prone,100,5,19,13000000
deep,dead,Medium,fill,3,2,10,prone,100,6,15,13000000
deep,dead,Medium,concrete,3,2,10,prone,200,1,11,26000000
deep,dead,Medium,pit,3,2,10,prone,200,2,13,26000000
deep,dead,Medium,utility,3,2,10,prone,200,3,14,26000000
deep,dead,Medium,fill,3,2,10,prone,200,4,15,26000000
deep,dead,Medium,concrete,3,2,10,prone,200,5,11,26000000
deep,dead,Medium,pit,3,2,10,prone,200,6,14,26000000
deep,dead,Medium,utility,3,2,10,prone,300,1,14,39000000
deep,dead,Medium,fill,3,2,10,prone,300,2,20,39000000
deep,dead,Medium,concrete,3,2,10,prone,300,3,21,39000000
deep,dead,Medium,pit,3,2,10,prone,300,4,17,39000000
deep,dead,Medium,utility,3,2,10,prone,300,5,22,39000000
deep,dead,Medium,fill,3,2,10,prone,300,6,20,39000000
deep,dead,Medium,concrete,3,2,10,prone,500,1,14,65000000
deep,dead,Medium,pit,3,2,10,prone,500,2,13,65000000
deep,dead,Medium,utility,3,2,10,prone,500,3,10,65000000
deep,dead,Medium,fill,3,2,10,prone,500,4,12,65000000
deep,dead,Medium,concrete,3,2,10,prone,500,5,15,65000000
deep,dead,Medium,pit,3,2,10,prone,500,6,13,65000000
deep,dead,Medium,utility,3,2,10,notProne,100,1,70,13000000
deep,dead,Medium,fill,3,2,10,notProne,100,2,67,13000000
deep,dead,Medium,concrete,3,2,10,notProne,100,3,63,13000000
deep,dead,Medium,pit,3,2,10,notProne,100,4,65,13000000
deep,dead,Medium,utility,3,2,10,notProne,100,5,57,13000000
deep,dead,Medium,fill,3,2,10,notProne,100,6,55,13000000
deep,dead,Medium,concrete,3,2,10,notProne,200,1,58,26000000
deep,dead,Medium,pit,3,2,10,notProne,200,2,59,26000000
deep,dead,Medium,utility,3,2,10,notProne,200,3,55,26000000
deep,dead,Medium,fill,3,2,10,notProne,200,4,60,26000000
deep,dead,Medium,concrete,3,2,10,notProne,200,5,57,26000000
deep,dead,Medium,pit,3,2,10,notProne,200,6,53,26000000
deep,dead,Medium,utility,3,2,10,notProne,300,1,65,39000000
deep,dead,Medium,fill,3,2,10,notProne,300,2,62,39000000
deep,dead,Medium,concrete,3,2,10,notProne,300,3,57,39000000
deep,dead,Medium,pit,3,2,10,notProne,300,4,60,39000000
deep,dead,Medium,utility,3,2,10,notProne,300,5,62,39000000
deep,dead,Medium,fill,3,2,10,notProne,300,6,50,39000000
deep,dead,Medium,concrete,3,2,10,notProne,500,1,53,65000000
deep,dead,Medium,pit,3,2,10,notProne,500,2,54,65000000
deep,dead,Medium,utility,3,2,10,notProne,500,3,50,65000000
deep,dead,Medium,fill,3,2,10,notProne,500,4,55,65000000
deep,dead,Medium,concrete,3,2,10,notProne,500,5,52,65000000
deep,dead,Medium,pit,3,2,10,notProne,500,6,49,65000000
deep,dead,Medium,utility,3,2,14,prone,100,1,18,18200000
deep,dead,Medium,fill,3,2,14,prone,100,2,23,18200000
deep,dead,Medium,concrete,3,2,14,prone,100,3,27,18200000
deep,dead,Medium,pit,3,2,14,prone,100,4,27,18200000
deep,dead,Medium,utility,3,2,14,prone,100,5,18,18200000
deep,dead,Medium,fill,3,2,14,prone,100,6,14,18200000
deep,dead,Medium,concrete,3,2,14,prone,200,1,10,36400000
deep,dead,Medium,pit,3,2,14,prone,200,2,12,36400000
deep,dead,Medium,utility,3,2,14,prone,200,3,13,36400000
deep,dead,Medium,fill,3,2,14,prone,200,4,15,36400000
deep,dead,Medium,concrete,3,2,14,prone,200,5,11,36400000
deep,dead,Medium,pit,3,2,14,prone,200,6,10,36400000
deep,dead,Medium,utility,3,2,14,prone,300,1,15,54600000
deep,dead,Medium,fill,3,2,14,prone,300,2,18,54600000
deep,dead,Medium,concrete,3,2,14,prone,300,3,20,54600000
deep,dead,Medium,pit,3,2,14,prone,300,4,15,54600000
deep,dead,Medium,utility,3,2,14,prone,300,5,21,54600000
deep,dead,Medium,fill,3,2,14,prone,300,6,19,54600000
deep,dead,Medium,concrete,3,2,14,prone,500,1,14,91000000
deep,dead,Medium,pit,3,2,14,prone,500,2,12,91000000
deep,dead,Medium,utility,3,2,14,prone,500,3,10,91000000
deep,dead,Medium,fill,3,2,14,prone,500,4,10,91000000
deep,dead,Medium,concrete,3,2,14,prone,500,5,13,91000000
deep,dead,Medium,pit,3,2,14,prone,500,6,15,91000000
deep,dead,Medium,utility,3,2,14,notProne,100,1,68,18200000
deep,dead,Medium,fill,3,2,14,notProne,100,2,65,18200000
deep,dead,Medium,concrete,3,2,14,notProne,100,3,61,18200000
deep,dead,Medium,pit,3,2,14,notProne,100,4,53,18200000
deep,dead,Medium,utility,3,2,14,notProne,100,5,55,18200000
deep,dead,Medium,fill,3,2,14,notProne,100,6,53,18200000
deep,dead,Medium,concrete,3,2,14,notProne,200,1,56,36400000
deep,dead,Medium,pit,3,2,14,notProne,200,2,57,36400000
deep,dead,Medium,utility,3,2,14,notProne,200,3,53,36400000
deep,dead,Medium,fill,3,2,14,notProne,200,4,58,36400000
deep,dead,Medium,concrete,3,2,14,notProne,200,5,55,36400000
deep,dead,Medium,pit,3,2,14,notProne,200,6,51,36400000
deep,dead,Medium,utility,3,2,14,notProne,300,1,63,54600000
deep,dead,Medium,fill,3,2,14,notProne,300,2,60,54600000
deep,dead,Medium,concrete,3,2,14,notProne,300,3,59,54600000
deep,dead,Medium,pit,3,2,14,notProne,300,4,58,54600000
deep,dead,Medium,utility,3,2,14,notProne,300,5,60,54600000
deep,dead,Medium,fill,3,2,14,notProne,300,6,48,54600000
deep,dead,Medium,concrete,3,2,14,notProne,500,1,51,91000000
deep,dead,Medium,pit,3,2,14,notProne,500,2,52,91000000
deep,dead,Medium,utility,3,2,14,notProne,500,3,48,91000000
deep,dead,Medium,fill,3,2,14,notProne,500,4,53,91000000
deep,dead,Medium,concrete,3,2,14,notProne,500,5,50,91000000
deep,dead,Medium,pit,3,2,14,notProne,500,6,47,91000000
deep,dead,Medium,utility,3,2,18,prone,100,1,16,23400000
deep,dead,Medium,fill,3,2,18,prone,100,2,20,23400000
deep,dead,Medium,concrete,3,2,18,prone,100,3,25,23400000
deep,dead,Medium,pit,3,2,18,prone,100,4,26,23400000
deep,dead,Medium,utility,3,2,18,prone,100,5,14,23400000
deep,dead,Medium,fill,3,2,18,prone,100,6,11,23400000
deep,dead,Medium,concrete,3,2,18,prone,200,1,13,46800000
deep,dead,Medium,pit,3,2,18,prone,200,2,10,46800000
deep,dead,Medium,utility,3,2,18,prone,200,3,10,46800000
deep,dead,Medium,fill,3,2,18,prone,200,4,11,46800000
deep,dead,Medium,concrete,3,2,18,prone,200,5,10,46800000
deep,dead,Medium,pit,3,2,18,prone,200,6,11,46800000
deep,dead,Medium,utility,3,2,18,prone,300,1,12,70200000
deep,dead,Medium,fill,3,2,18,prone,300,2,15,70200000
deep,dead,Medium,concrete,3,2,18,prone,300,3,17,70200000
deep,dead,Medium,pit,3,2,18,prone,300,4,13,70200000
deep,dead,Medium,utility,3,2,18,prone,300,5,16,70200000
deep,dead,Medium,fill,3,2,18,prone,300,6,17,70200000
deep,dead,Medium,concrete,3,2,18,prone,500,1,11,116000000
deep,dead,Medium,pit,3,2,18,prone,500,2,11,116000000
deep,dead,Medium,utility,3,2,18,prone,500,3,9,116000000
deep,dead,Medium,fill,3,2,18,prone,500,4,11,116000000
deep,dead,Medium,concrete,3,2,18,prone,500,5,12,116000000
deep,dead,Medium,pit,3,2,18,prone,500,6,10,116000000
deep,dead,Medium,utility,3,2,18,notProne,100,1,65,23400000
deep,dead,Medium,fill,3,2,18,notProne,100,2,62,23400000
deep,dead,Medium,concrete,3,2,18,notProne,100,3,58,23400000
deep,dead,Medium,pit,3,2,18,notProne,100,4,60,23400000
deep,dead,Medium,utility,3,2,18,notProne,100,5,52,23400000
deep,dead,Medium,fill,3,2,18,notProne,100,6,50,23400000
deep,dead,Medium,concrete,3,2,18,notProne,200,1,53,46800000
deep,dead,Medium,pit,3,2,18,notProne,200,2,54,46800000
deep,dead,Medium,utility,3,2,18,notProne,200,3,50,46800000
deep,dead,Medium,fill,3,2,18,notProne,200,4,55,46800000
deep,dead,Medium,concrete,3,2,18,notProne,200,5,52,46800000
deep,dead,Medium,pit,3,2,18,notProne,200,6,48,46800000
deep,dead,Medium,utility,3,2,18,notProne,300,1,60,70200000
deep,dead,Medium,fill,3,2,18,notProne,300,2,57,70200000
deep,dead,Medium,concrete,3,2,18,notProne,300,3,56,70200000
deep,dead,Medium,pit,3,2,18,notProne,300,4,55,70200000
deep,dead,Medium,utility,3,2,18,notProne,300,5,57,70200000
deep,dead,Medium,fill,3,2,18,notProne,300,6,45,70200000
deep,dead,Medium,concrete,3,2,18,notProne,500,1,48,116000000
deep,dead,Medium,pit,3,2,18,notProne,500,2,49,116000000
deep,dead,Medium,utility,3,2,18,notProne,500,3,45,116000000
deep,dead,Medium,fill,3,2,18,notProne,500,4,50,116000000
deep,dead,Medium,concrete,3,2,18,notProne,500,5,47,116000000
deep,dead,Medium,pit,3,2,18,notProne,500,6,44,116000000
deep,dead,Medium,utility,3,4,2,prone,100,1,21,2600000
deep,dead,Medium,fill,3,4,2,prone,100,2,26,2600000
deep,dead,Medium,concrete,3,4,2,prone,100,3,29,2600000
deep,dead,Medium,pit,3,4,2,prone,100,4,31,2600000
deep,dead,Medium,utility,3,4,2,prone,100,5,20,2600000
deep,dead,Medium,fill,3,4,2,prone,100,6,16,2600000
deep,dead,Medium,concrete,3,4,2,prone,200,1,16,5200000
deep,dead,Medium,pit,3,4,2,prone,200,2,14,5200000
deep,dead,Medium,utility,3,4,2,prone,200,3,15,5200000
deep,dead,Medium,fill,3,4,2,prone,200,4,20,5200000
deep,dead,Medium,concrete,3,4,2,prone,200,5,14,5200000
deep,dead,Medium,pit,3,4,2,prone,200,6,15,5200000
deep,dead,Medium,utility,3,4,2,prone,300,1,12,7800000
deep,dead,Medium,fill,3,4,2,prone,300,2,25,7800000
deep,dead,Medium,concrete,3,4,2,prone,300,3,24,7800000
deep,dead,Medium,pit,3,4,2,prone,300,4,16,7800000
deep,dead,Medium,utility,3,4,2,prone,300,5,23,7800000
deep,dead,Medium,fill,3,4,2,prone,300,6,21,7800000
deep,dead,Medium,concrete,3,4,2,prone,500,1,14,13000000
deep,dead,Medium,pit,3,4,2,prone,500,2,15,13000000
deep,dead,Medium,utility,3,4,2,prone,500,3,18,13000000
deep,dead,Medium,fill,3,4,2,prone,500,4,20,13000000
deep,dead,Medium,concrete,3,4,2,prone,500,5,14,13000000
deep,dead,Medium,pit,3,4,2,prone,500,6,13,13000000
deep,dead,Medium,utility,3,4,2,notProne,100,1,85,2600000
deep,dead,Medium,fill,3,4,2,notProne,100,2,82,2600000
deep,dead,Medium,concrete,3,4,2,notProne,100,3,78,2600000
deep,dead,Medium,pit,3,4,2,notProne,100,4,80,2600000
deep,dead,Medium,utility,3,4,2,notProne,100,5,72,2600000
deep,dead,Medium,fill,3,4,2,notProne,100,6,70,2600000
deep,dead,Medium,concrete,3,4,2,notProne,200,1,73,5200000
deep,dead,Medium,pit,3,4,2,notProne,200,2,74,5200000
deep,dead,Medium,utility,3,4,2,notProne,200,3,70,5200000
deep,dead,Medium,fill,3,4,2,notProne,200,4,75,5200000
deep,dead,Medium,concrete,3,4,2,notProne,200,5,72,5200000
deep,dead,Medium,pit,3,4,2,notProne,200,6,68,5200000
deep,dead,Medium,utility,3,4,2,notProne,300,1,80,7800000
deep,dead,Medium,fill,3,4,2,notProne,300,2,77,7800000
deep,dead,Medium,concrete,3,4,2,notProne,300,3,73,7800000
deep,dead,Medium,pit,3,4,2,notProne,300,4,75,7800000
deep,dead,Medium,utility,3,4,2,notProne,300,5,67,7800000
deep,dead,Medium,fill,3,4,2,notProne,300,6,65,7800000
deep,dead,Medium,concrete,3,4,2,notProne,500,1,68,13000000
deep,dead,Medium,pit,3,4,2,notProne,500,2,69,13000000
deep,dead,Medium,utility,3,4,2,notProne,500,3,65,13000000
deep,dead,Medium,fill,3,4,2,notProne,500,4,70,13000000
deep,dead,Medium,concrete,3,4,2,notProne,500,5,67,13000000
deep,dead,Medium,pit,3,4,2,notProne,500,6,63,13000000
deep,dead,Medium,utility,3,4,6,prone,200,1,25,15600000
deep,dead,Medium,fill,3,4,6,prone,200,2,30,15600000
deep,dead,Medium,concrete,3,4,6,prone,200,3,34,15600000
deep,dead,Medium,pit,3,4,6,prone,200,4,35,15600000
deep,dead,Medium,utility,3,4,6,prone,200,5,24,15600000
deep,dead,Medium,fill,3,4,6,prone,200,6,20,15600000
deep,dead,Medium,concrete,3,4,6,prone,300,1,16,23400000
deep,dead,Medium,pit,3,4,6,prone,300,2,18,24400000
deep,dead,Medium,utility,3,4,6,prone,300,3,19,23400000
deep,dead,Medium,fill,3,4,6,prone,300,4,25,24400000
deep,dead,Medium,concrete,3,4,6,prone,300,5,17,23400000
deep,dead,Medium,pit,3,4,6,prone,300,6,15,24400000
deep,dead,Medium,utility,3,4,6,prone,500,1,20,39000000
deep,dead,Medium,fill,3,4,6,prone,500,2,25,39000000
deep,dead,Medium,concrete,3,4,6,prone,500,3,27,39000000
deep,dead,Medium,pit,3,4,6,prone,500,4,21,39000000
deep,dead,Medium,utility,3,4,6,prone,500,5,28,39000000
deep,dead,Medium,fill,3,4,6,prone,500,6,26,39000000
deep,dead,Medium,concrete,3,4,6,notProne,100,1,75,7800000
deep,dead,Medium,pit,3,4,6,notProne,100,2,72,7800000
deep,dead,Medium,utility,3,4,6,notProne,100,3,68,7800000
deep,dead,Medium,fill,3,4,6,notProne,100,4,70,7800000
deep,dead,Medium,concrete,3,4,6,notProne,100,5,62,7800000
deep,dead,Medium,pit,3,4,6,notProne,100,6,60,7800000
deep,dead,Medium,utility,3,4,6,notProne,200,1,63,15600000
deep,dead,Medium,fill,3,4,6,notProne,200,2,64,15600000
deep,dead,Medium,concrete,3,4,6,notProne,200,3,60,15600000
deep,dead,Medium,pit,3,4,6,notProne,200,4,65,15600000
deep,dead,Medium,utility,3,4,6,notProne,200,5,62,15600000
deep,dead,Medium,fill,3,4,6,notProne,200,6,58,15600000
deep,dead,Medium,concrete,3,4,6,notProne,300,1,70,23400000
deep,dead,Medium,pit,3,4,6,notProne,300,2,67,24400000
deep,dead,Medium,utility,3,4,6,notProne,300,3,63,23400000
deep,dead,Medium,fill,3,4,6,notProne,300,4,65,24400000
deep,dead,Medium,concrete,3,4,6,notProne,300,5,57,23400000
deep,dead,Medium,pit,3,4,6,notProne,300,6,55,24400000
deep,dead,Medium,utility,3,4,6,notProne,500,1,58,39000000
deep,dead,Medium,fill,3,4,6,notProne,500,2,59,39000000
deep,dead,Medium,concrete,3,4,6,notProne,500,3,55,39000000
deep,dead,Medium,pit,3,4,6,notProne,500,4,60,39000000
deep,dead,Medium,utility,3,4,6,notProne,500,5,57,39000000
deep,dead,Medium,fill,3,4,6,notProne,500,6,53,39000000
deep,dead,Medium,concrete,3,4,10,prone,100,1,20,13000000
deep,dead,Medium,pit,3,4,10,prone,100,2,25,13000000
deep,dead,Medium,utility,3,4,10,prone,100,3,29,13000000
deep,dead,Medium,fill,3,4,10,prone,100,4,28,13000000
deep,dead,Medium,concrete,3,4,10,prone,100,5,20,13000000
deep,dead,Medium,pit,3,4,10,prone,100,6,16,13000000
deep,dead,Medium,utility,3,4,10,prone,200,1,12,26000000
deep,dead,Medium,fill,3,4,10,prone,200,2,14,26000000
deep,dead,Medium,concrete,3,4,10,prone,200,3,15,26000000
deep,dead,Medium,pit,3,4,10,prone,200,4,16,26000000
deep,dead,Medium,utility,3,4,10,prone,200,5,12,26000000
deep,dead,Medium,fill,3,4,10,prone,200,6,12,26000000
deep,dead,Medium,concrete,3,4,10,prone,300,1,15,39000000
deep,dead,Medium,pit,3,4,10,prone,300,2,19,39000000
deep,dead,Medium,utility,3,4,10,prone,300,3,22,39000000
deep,dead,Medium,fill,3,4,10,prone,300,4,16,39000000
deep,dead,Medium,concrete,3,4,10,prone,300,5,24,39000000
deep,dead,Medium,pit,3,4,10,prone,300,6,21,39000000
deep,dead,Medium,utility,3,4,10,prone,500,1,15,65000000
deep,dead,Medium,fill,3,4,10,prone,500,2,14,65000000
deep,dead,Medium,concrete,3,4,10,prone,500,3,11,65000000
deep,dead,Medium,pit,3,4,10,prone,500,4,14,65000000
deep,dead,Medium,utility,3,4,10,prone,500,5,16,65000000
deep,dead,Medium,fill,3,4,10,prone,500,6,14,65000000
deep,dead,Medium,concrete,3,4,10,notProne,100,1,70,13000000
deep,dead,Medium,pit,3,4,10,notProne,100,2,67,13000000
deep,dead,Medium,utility,3,4,10,notProne,100,3,63,13000000
deep,dead,Medium,fill,3,4,10,notProne,100,4,65,13000000
deep,dead,Medium,concrete,3,4,10,notProne,100,5,57,13000000
deep,dead,Medium,pit,3,4,10,notProne,100,6,55,13000000
deep,dead,Medium,utility,3,4,10,notProne,200,1,58,26000000
deep,dead,Medium,fill,3,4,10,notProne,200,2,59,26000000
deep,dead,Medium,concrete,3,4,10,notProne,200,3,55,26000000
deep,dead,Medium,pit,3,4,10,notProne,200,4,60,26000000
deep,dead,Medium,utility,3,4,10,notProne,200,5,57,26000000
deep,dead,Medium,fill,3,4,10,notProne,200,6,53,26000000
deep,dead,Medium,concrete,3,4,10,notProne,300,1,65,39000000
deep,dead,Medium,pit,3,4,10,notProne,300,2,62,39000000
deep,dead,Medium,utility,3,4,10,notProne,300,3,57,39000000
deep,dead,Medium,fill,3,4,10,notProne,300,4,60,39000000
deep,dead,Medium,concrete,3,4,10,notProne,300,5,62,39000000
deep,dead,Medium,pit,3,4,10,notProne,300,6,50,39000000
deep,dead,Medium,utility,3,4,10,notProne,500,1,53,65000000
deep,dead,Medium,fill,3,4,10,notProne,500,2,54,65000000
deep,dead,Medium,concrete,3,4,10,notProne,500,3,50,65000000
deep,dead,Medium,pit,3,4,10,notProne,500,4,55,65000000
deep,dead,Medium,utility,3,4,10,notProne,500,5,52,65000000
deep,dead,Medium,fill,3,4,10,notProne,500,6,49,65000000
deep,dead,Medium,concrete,3,4,14,prone,100,1,18,18200000
deep,dead,Medium,pit,3,4,14,prone,100,2,23,18200000
deep,dead,Medium,utility,3,4,14,prone,100,3,26,18200000
deep,dead,Medium,fill,3,4,14,prone,100,4,28,18200000
deep,dead,Medium,concrete,3,4,14,prone,100,5,18,18200000
deep,dead,Medium,pit,3,4,14,prone,100,6,14,18200000
deep,dead,Medium,utility,3,4,14,prone,200,1,10,36400000
deep,dead,Medium,fill,3,4,14,prone,200,2,12,36400000
deep,dead,Medium,concrete,3,4,14,prone,200,3,14,36400000
deep,dead,Medium,pit,3,4,14,prone,200,4,14,36400000
deep,dead,Medium,utility,3,4,14,prone,200,5,12,36400000
deep,dead,Medium,fill,3,4,14,prone,200,6,10,36400000
deep,dead,Medium,concrete,3,4,14,prone,300,1,14,54600000
deep,dead,Medium,pit,3,4,14,prone,300,2,18,54600000
deep,dead,Medium,utility,3,4,14,prone,300,3,20,54600000
deep,dead,Medium,fill,3,4,14,prone,300,4,15,54600000
deep,dead,Medium,concrete,3,4,14,prone,300,5,20,54600000
deep,dead,Medium,pit,3,4,14,prone,300,6,19,54600000
deep,dead,Medium,utility,3,4,14,prone,500,1,14,91000000
deep,dead,Medium,fill,3,4,14,prone,500,2,12,91000000
deep,dead,Medium,concrete,3,4,14,prone,500,3,11,91000000
deep,dead,Medium,pit,3,4,14,prone,500,4,10,91000000
deep,dead,Medium,utility,3,4,14,prone,500,5,14,91000000
deep,dead,Medium,fill,3,4,14,prone,500,6,12,91000000
deep,dead,Medium,concrete,3,4,14,notProne,100,1,68,18200000
deep,dead,Medium,pit,3,4,14,notProne,100,2,65,18200000
deep,dead,Medium,utility,3,4,14,notProne,100,3,61,18200000
deep,dead,Medium,fill,3,4,14,notProne,100,4,63,18200000
deep,dead,Medium,concrete,3,4,14,notProne,100,5,55,18200000
deep,dead,Medium,pit,3,4,14,notProne,100,6,53,18200000
deep,dead,Medium,utility,3,4,14,notProne,200,1,56,36400000
deep,dead,Medium,fill,3,4,14,notProne,200,2,57,36400000
deep,dead,Medium,concrete,3,4,14,notProne,200,3,53,36400000
deep,dead,Medium,pit,3,4,14,notProne,200,4,58,36400000
deep,dead,Medium,utility,3,4,14,notProne,200,5,55,36400000
deep,dead,Medium,fill,3,4,14,notProne,200,6,51,36400000
deep,dead,Medium,concrete,3,4,14,notProne,300,1,63,54600000
deep,dead,Medium,pit,3,4,14,notProne,300,2,60,54600000
deep,dead,Medium,utility,3,4,14,notProne,300,3,59,54600000
deep,dead,Medium,fill,3,4,14,notProne,300,4,58,54600000
deep,dead,Medium,concrete,3,4,14,notProne,300,5,60,54600000
deep,dead,Medium,pit,3,4,14,notProne,300,6,48,54600000
deep,dead,Medium,utility,3,4,14,notProne,500,1,61,91000000
deep,dead,Medium,fill,3,4,14,notProne,500,2,52,91000000
deep,dead,Medium,concrete,3,4,14,notProne,500,3,48,91000000
deep,dead,Medium,pit,3,4,14,notProne,500,4,53,91000000
deep,dead,Medium,utility,3,4,14,notProne,500,5,50,91000000
deep,dead,Medium,fill,3,4,14,notProne,500,6,47,91000000
deep,dead,Medium,concrete,3,4,18,prone,100,1,16,23400000
